rank	word	reading	pos	meaning	example	translation
2284	民主党	みんしゅとう	noun	Democratic Party	彼女は民主党に所属しています。	She belongs to the Democratic Party.
2285	洗濯	せんたく	noun	washing; laundry	洗濯物はもう洗濯屋から返ってきてますか。	Has the wash come back yet?
2286	漢字	かんじ	noun	kanji; Chinese character	４級の漢字をどれだけ覚えていますか。	How many grade four kanji have you memorised?
2287	田舎	いなか	noun	rural area; countryside; the sticks	都会に住むより田舎に住む方が健康に良い。	It is better for the health to live in the country than in the city.
2288	症状	しょうじょう	noun	symptoms; condition (of a patient)	これらの症状の原因はまだ分かっていない。	What accounts for these symptoms hasn't been discovered yet.
2289	皮	かわ	noun	skin; hide; pelt	本物の皮を使う方が結局は安くつくだろう。	It'll be cheaper in the long run to use real leather.
2290	直前	ちょくぜん	noun	just before; just prior to	試合の直前にはいつもあがっています。	I always get nervous just before a match.
2291	英国	えいこく	noun	United Kingdom; Britain; Great Britain	当時英国は戦争の準備ができていなかった。	Britain was not geared up for war then.
2292	視点	してん	noun	point of view; viewpoint; angle	私たちはその問題を子供の視点から考慮すべきである。	We should consider the problem from a child's point of view.
2293	観察	かんさつ	noun	observation; survey; watching	注意深く観察すれば違いがわかるでしょう。	A careful observation will show you the difference.
2294	通販	つうはん	noun	online shopping; e-commerce; mail order	通販で理想的な枕が買えます。	An ideal pillow is available from a mail-order house.
2295	閉鎖	へいさ	noun	closing; closure	彼らはその学校の閉鎖について討論した。	They debated closing the school.
2296	需要	じゅよう	noun	demand; need	現在における果物の供給は需要に及ばない。	Present supplies of fruit are short of requirements.
2297	めちゃくちゃ	めちゃくちゃ	na-adjective	absurd; unreasonable; nonsensical	君は何もかもめちゃくちゃにしてしまった。	You have put everything out of order.
2298	アウト	あうと	noun	out (of a ball; in tennis, etc.); outside the line	明日の朝チェックアウトしたいのですが。	I'd like to check out tomorrow morning.
2299	ウイルス	ういるす	noun	virus	ガンはある種のウイルスと関係があるかもしれない。	Cancer may be related to viruses of some kind.
2300	サンプル	さんぷる	noun	sample; example; specimen	サンプルが必要でしたらご連絡下さい。	If you would like to have a sample, please let us know.
2301	スタジオ	すたじお	noun	studio	夜にスタジオでは電気をつけない。	I don't switch on the light in my studio at night.
2302	タクシー	たくしー	noun	taxi	彼は公衆電話を見つけてタクシーを呼んだ。	He found a public telephone and called a taxi.
2303	一致	いっち	noun	agreement; accord; correspondence	彼らは早く出発することで意見が一致した。	They agreed to start early.
2304	不正	ふせい	noun	injustice; unfairness; wrongdoing	そのような不正行為には軽蔑しか感じない。	I feel nothing but contempt for such dishonest behavior.
2305	仲良く	なかよく	adverb	on good terms (with); on friendly terms (with); (getting along) well	彼はすべての友達と仲良くやってるようだ。	He seems to live in harmony with all his friends.
2306	出力	しゅつりょく	noun	output (electrical, signal, etc.)	ディスクと出力紙をかばんに詰めて下さい。	Please pack the disks and hard copies into the briefcase.
2307	収集	しゅうしゅう	noun	collecting; accumulating; gathering	データを収集するため、次の実験を行った。	They conducted the following experiment to collect the data.
2308	多様	たよう	na-adjective	diverse; various	我々の保険の範囲は多様な損害に及びます。	Our insurance policy covers various kinds of damages.
2309	姉妹	しまい	noun	sisters	私は彼女を彼女の姉妹だと思っていました。	I took her for her sister.
2310	岩	いわ	noun	rock; boulder	その岩を踏んではいけない。落ちそうだ。	Don't step on that rock. It's going to fall.
2311	弁当	べんとう	noun	bento; Japanese box lunch	彼女は弁当を持ってくる必要はなかったのに。	She need not have brought a lunch.
2312	形成	けいせい	noun	formation; molding; making (up)	先生は子どもの心を形成するのを助ける。	Teachers help to form the minds of children.
2313	微妙	びみょう	na-adjective	subtle; delicate; fine	その二つの事の間には微妙な違いがある。	There are subtle differences between the two things.
2314	才	さい	noun	ability; gift; talent	少年は十二才で音楽学校を退学させられた。	The boy was expelled from music school when he was 12.
2315	族	ぞく	noun	tribe (taxonomic rank)	南アメリカにインカ族と呼ばれる人々がいる。	There are people called Incas in South America.
2316	暗殺	あんさつ	noun	assassination	暗殺が世界の歴史を変えたことはない。	Assassination has never changed the history of the world.
2317	朝鮮	ちょうせん	noun	Korea	日本語は朝鮮語と共通点がある。	Japanese has something in common with Korean.
2318	楽しむ	たのしむ	verb	to enjoy; to take pleasure in; to have a good time	彼女は月の光を楽しむために電灯を消した。	She turned off the lights so she could enjoy the moonlight.
2319	武装	ぶそう	noun	arms; armament; taking up arms	その兵士たちは武装していた。	The soldiers were equipped with weapons.
2320	池	いけ	noun	pond	私たちは丘のふもとにある池の方へ進んだ。	We made for a pond at the foot of the hill.
2321	済む	すむ	verb	to finish; to end; to be completed	これでこれ以上の義務を負わなくて済む。	That absolves me from further responsibility.
2322	立派	りっぱ	na-adjective	splendid; fine; handsome	彼は制服を着ている時が一番立派に見える。	He looks his best in his uniform.
2323	競馬	けいば	noun	horse racing	彼は競馬のために馬を訓練している。	He is training a horse for a race.
2324	缶	かん	noun	can; tin	ナイフを取り出して、彼は缶を開けようとした。	Taking out a knife, he tried to open the can.
2325	脱出	だっしゅつ	noun	escape; getting away (from); getting out (of)	われわれの脱出は奇跡というほかなかった。	Our escape was nothing short of a miracle.
2326	自民党	じみんとう	noun	Liberal Democratic Party; LDP	小泉が与党自民党の新総裁に選出された。	Mr Koizumi was elected the new president of Japan's ruling Liberal Democratic Party.
2327	英雄	えいゆう	noun	hero; heroine; great person	現代の英雄はロックスターが代表している。	Modern heroes are represented by rock stars.
2328	衛星	えいせい	noun	(natural) satellite; moon	東京はたくさんの衛星都市に囲まれている。	Tokyo is surrounded by many satellite cities.
2329	補助	ほじょ	noun	assistance; support; help	その飛行機は補助ロケットを使って離陸した。	The airplane used a rocket motor to assist with takeoff.
2330	要	かなめ	noun	pivot	「要さんって、何時にあがれます？」「終わりまでだから八時までかかるわ」	Kaname, when can you leave? "It's till closing so it takes till eight."
2331	要請	ようせい	noun	appeal; call for something; request	彼らは彼にその仕事をするように要請した。	They requested him to do the job.
2332	設立	せつりつ	noun	establishment; founding	物価を調査するために委員会が設立された。	A committee was constituted to investigate prices.
2333	財産	ざいさん	noun	property; fortune; assets	父の残した財産で彼は楽に暮らしていける。	The property left him by his father enables him to live in comfort.
2334	連合	れんごう	noun	union; combination; alliance	これら三つの国が連合して一つの国になった。	These three countries were united into one.
2335	連邦	れんぽう	noun	federation (of states); confederation; commonwealth	連邦予算はかろうじて議会の承認を得た。	The federal budget was narrowly approved by Congress.
2336	釣り	つり	noun	fishing; angling	天気なので釣りに行きたいような気がする。	It's fine day and I feel like going fishing.
2337	もしか	もしか	adverb	if; in case; supposing	もしかしたら彼は気が変わるかもしれない。	He might change his mind.
2338	アイデア	あいであ	noun	idea	そんなアイデアをどうやって思い付いたの？	How did you hit upon such an idea?
2339	オール	おーる	noun	all	ジェーンはオールＡをとるだろう。	Jane will get straight A's.
2340	キリスト	きりすと	noun	Christ	牧師は彼女のキリスト信仰の告白を聞いた。	The minister listened to her profession of Christianity.
2341	クリック	くりっく	noun	(mouse) click	画像をクリックすると次ページへ移ります！	Click the picture to go to the next page!
2342	クール	くーる	na-adjective	cool (temperature, color, etc.)	彼は離婚してからも相変わらずクールだ。	He is as cool as ever after his divorce.
2343	コート	こーと	noun	coat	冷たい風が彼のコートを通して身にしみた。	The cold wind cut through his coat.
2344	セクシー	せくしー	na-adjective	sexy	道の向う側にセクシーな女の子が歩いている。	There goes a hot little number across the street.
2345	ブーム	ぶーむ	noun	boom; craze; fad	日本の漫画は大規模なブームを起こした。	Japanese comics have boomed on a large scale.
2346	マス	ます	noun	mass	彼らは川でマスを釣った。	They fished the stream for trout.
2347	ラスト	らすと	noun	end; conclusion; last one	ラスト・オーダーは締め切らせていただきました。	Last call!
2348	不良	ふりょう	adjective	bad; poor; inferior	不良たちは彼を殴り倒して財布を奪った。	The delinquents knocked him down and stole his wallet.
2349	中古	ちゅうこ	adjective	used; second-hand; old	ジョンが中古車を買ったのは先週であった。	It was last week that John bought a second-hand car.
2350	乳首	ちくび	noun	nipple; teat	乳首から分泌液が出ます。	I have a discharge from my nipple.
2351	五輪	ごりん	noun	Olympic Games; Olympics	五輪旗の右端の輪っかって何色だったっけか？	What color is the far right ring on the Olympic flag?
2352	体調	たいちょう	noun	physical condition; state of health; shape	よく眠った後で体調は最もよい状態だった。	I was at my best after a good sleep.
2353	先週	せんしゅう	noun	last week; the week before	彼女は先週買ったハンドバッグを奪われた。	She was robbed of the handbag she bought last week.
2354	刺激	しげき	noun	stimulus; stimulation; irritation (esp. of the body, e.g. skin, eyes)	我々は彼の感情を刺激しないかと心配した。	We were afraid that we might hurt his feelings.
2355	創造	そうぞう	noun	creation	今の仕事には、創造力が必要とされている。	The work I'm doing now requires originality.
2356	化粧	けしょう	noun	make-up; makeup; cosmetics	彼女がお化粧をしたとたんに彼が到着した。	Scarcely had she put on her makeup before he arrived.
2357	吸収	きゅうしゅう	noun	absorption; suction; attraction	小企業は大企業にしばしば、吸収される。	Small businesses are often absorbed by a major company.
2358	天然	てんねん	noun	nature; spontaneity	天然資源に富む国は世界にたくさんはない。	There are not many countries in the world that abound in natural resources.
2359	実質	じっしつ	noun	substance; essence	私たちの提案は実質にほとんど同じだった。	Our suggestions were, in effect, almost the same.
2360	屋根	やね	noun	roof	あの屋根の上にいる猫を見てごらんなさい。	Look at that cat on the roof.
2361	才能	さいのう	noun	talent; ability	彼女は才能に恵まれているどころではない。	She is far from being richly gifted.
2362	改革	かいかく	noun	reform; reformation; reorganization	彼はその改革を実行すべきだと主張した。	He advocated to us that the changes be made.
2363	構築	こうちく	noun	construction; building; putting up	我々は他人との関係を構築し、維持していく。	We build and maintain relationships with others.
2364	正体	しょうたい	noun	true character; true form; true colors	猫かぶりしてもお前の正体は分かっているよ。	You are a wolf in sheep's clothing.
2365	港	みなと	noun	harbour; harbor; port	時々、叔父は私を港に連れて行ってくれた。	Once in a while my uncle took me to the harbor.
2366	生まれる	うまれる	verb	to be born	彼女はアメリカで生まれ、日本で成人した。	She was born in America and grew up in Japan.
2367	相変わらず	あいかわらず	adverb	as usual; as always; as before	君は相変わらず同じような電話しくれない。	You're giving me the same old line.
2368	突破	とっぱ	noun	breaking through; breakthrough; penetration	敵の防御は強力だったが我々は突破しようと試みた。	Though the enemy's defenses were strong, we tried to break through.
2369	つながり	つながり	noun	connection; link; relationship	オランダ語はドイツ語と密接なつながりがある。	Dutch is closely related to German.
2370	若干	じゃっかん	adjective	some; few; a number of	彼は話を和らげるために若干の冗談を必要とする。	He needs a few jokes to lighten up his talk.
2371	訴え	うったえ	noun	lawsuit; complaint	彼は僕の訴えを聞こうとしなかった。	He was deaf to my pleas.
2372	貸し	かし	noun	loan; lending; hire	このペンが必要でしたらお貸しいたします。	If you want this pen, I will lend it to you.
2373	通知	つうち	noun	notice; notification; report	あなたは住所の変更を郵便局に通知したか。	Did you inform the post office of the change of your address?
2374	関わる	かかわる	verb	to be involved (in); to get involved (in); to concern oneself (with)	真実を述べるのは私の名誉に関わる問題だ。	It's a point of honor with me to tell the truth.
2375	お菓子	おかし	noun	confections; sweets; candy	どうぞお菓子をご自由におあがりください。	Please help yourself to the cakes.
2376	どんなに	どんなに	adverb	how; how much; to what extent	私はどんなに感謝しているか表現できない。	I can't express how grateful I am.
2377	まくる	まくる	verb	to turn up; to roll up (e.g. sleeves)	少年はゴールに向かって走りまくった。	The boy ran and ran toward the goal.
2378	カップル	かっぷる	noun	couple	彼らはなんてすてきなカップルなんだろう。	What a nice couple they are!
2379	ジャケット	じゃけっと	noun	jacket	ちょっと暑いのでジャケットを脱ぎます。	I'd like to take my jacket off, please; it's too hot.
2380	タン	たん	noun	tongue (beef, pork, etc.)	角のガソリンスタンドで満タンにしたんだ。	I had my car filled up at the service station at the corner.
2381	テニス	てにす	noun	tennis	連中はいつからテニスをしているんですか。	How long have they been playing tennis?
2382	パー	ぱー	noun	paper (in rock-paper-scissors)	「じゃんけんね」「ぐー」「ちょ・・パー」「後出しかよ！」	Rock-paper-scissors, OK? "Rock." "Sciss... paper." "You cheated!"
2383	ベル	べる	noun	bell	先生はベルが鳴った後、試験問題を配った。	The teacher gave out the test papers after the bell rang.
2384	メイド	めいど	noun	maid	メイドはテーブルにナイフとフォークを並べた。	The maid arranged the knives and forks on the table.
2385	主人	しゅじん	noun	head (of a household); proprietor (of a store); proprietress	彼女はご主人に比べてとても若く見えます。	She looks very young as against her husband.
2386	代理	だいり	noun	representation; agency; proxy	留守の間私の代理をしていただけますか。	Could you act for me while I'm out?
2387	保管	ほかん	noun	charge; custody; safekeeping	その書類に関しては私が保管しています。	As for the papers, I have custody of them.
2388	判決	はんけつ	noun	judicial decision; judgement; judgment	法廷は遺言状が有効であるとの判決を下した。	The court adjudged that the will was valid.
2389	古代	こだい	noun	ancient times; distant past; antiquity	古代人は世界が平らであると思っていた。	The ancients conceived of the world as flat.
2390	外交	がいこう	noun	diplomacy	日本は外交政策の変更を迫られてきている。	Japan has been urged to alter her diplomatic policies.
2391	奈良	なら	noun	Nara (city, prefecture)	彼は奈良へ行ってそこで知らせを聞いた。	He went to, where he heard the news.
2392	拡散	かくさん	noun	spreading; disseminating; scattering	エイズウイルスの拡散は恐るべき速さで進んでいる。	The speed of the spread of AIDS is horrifyingly fast.
2393	新品	しんぴん	noun	brand-new article; new item	時計が故障してしまったので、新品が欲しい。	My watch is broken, so I want a new one.
2394	東北	とうほく	noun	north-east	彼女はもう一度東北に行きたい気がしました。	She felt like going to Tohoku again.
2395	極めて	きわめて	adverb	exceedingly; extremely; decisively	毎日練習することが極めて重要です。	It is essential for you to practice every day.
2396	決勝	けっしょう	noun	decision of a contest	決勝戦はそれほど興奮する試合ではなかった。	The final match was not so exciting.
2397	浮気	うわき	noun	extramarital sex; affair; fooling around	彼女は浮気な女で本当に誰でも相手にする。	She is a loose woman and will honestly go with anyone.
2398	温度	おんど	noun	temperature	温度の急激な変化に順応するのは困難である。	It is difficult to adapt oneself to sudden changes of temperature.
2399	現役	げんえき	noun	active duty; active service	現役から引退した人は足が遠のくものだ。	People rarely come to see you once you are retired.
2400	管	かん	noun	pipe; tube	管から水が吹き出した。	Water shot from the pipe.
2401	経過	けいか	noun	passage (of time); elapsing; lapse	時間というものは早く経過するものだ。	Time runs on.
2402	統計	とうけい	noun	statistics	統計学は事実を表す数を取り扱うものである。	Statistics deals with collected numbers representing facts.
2403	認める	みとめる	verb	to recognize; to recognise; to observe	彼女は秘密を知っていることを認めている。	She admits knowing the secret.
2404	説得	せっとく	noun	persuasion	彼を説得しようとするのはばかげたことだ。	It is absurd trying to persuade him.
2405	講師	こうし	noun	speaker; lecturer	講師はジョークを言って演説を終えた。	The lecturer would end up his speech with a joke.
2406	軽い	かるい	i-adjective	light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily)	彼はにっこり笑って私の肩を軽くたたいた。	He patted me on the shoulder with a smile.
2407	近年	きんねん	noun	recent years	近年、化学は驚くべき進歩を遂げてきた。	Chemistry has made notable progress in recent years.
2408	部下	ぶか	noun	subordinate person	将軍は部下とともにその陰謀に加わった。	The general participated in the plot with his men.
2409	部長	ぶちょう	noun	head (chief, director) of a section or department	部長が不在のときはブラウン氏が業務を管理する。	Mr. Brown is in charge of the business in the absence of the manager.
2410	重視	じゅうし	noun	regarding as important; attaching importance to; taking a serious view of	ほとんどの専門家が彼の理論を重視している。	Most experts think a lot of his theory.
2411	金持ち	かねもち	noun	rich person; wealthy person	彼女は金持ちだが、彼はその２倍金持ちだ。	She is rich, but he is twice as rich.
2412	騒動	そうどう	noun	riot; rebellion; turmoil	大都市では騒動が起こる可能性が大変大きい。	Big cities have too high a potential for riots.
2413	うどん	うどん	noun	udon; thick Japanese wheat noodles	そばはそば粉から、うどんやきしめんは普通の小麦粉からできてるの。	Soba is made of buckwheat flour, and udon and kishimen are made of plain wheat flour.
2414	ついで	ついで	noun	opportunity; occasion; chance	買い物ついでにでもお寄りください。	Please drop by when you go out for shopping sometimes.
2415	シート	しーと	noun	sheet	シートを自分に合うように調整してください。	Please adjust the seat to fit you.
2416	ペン	ぺん	noun	pen	彼女はペンをポケットから取り出しました。	She took a pen out of her pocket.
2417	ホモ	ほも	noun	homozygote	ここだけの話だが、彼はホモらしい。	Between ourselves, he seems to be a homosexual.
2418	マッチ	まっち	noun	match (for lighting a fire)	娘がマッチで指をやけどしてしまいました。	Our daughter burned her finger with a match.
2419	マルチ	まるち	noun	multi-post	私のロボットの名前はマルチです。	My robot's name is Multi.
2420	ミッション	みっしょん	noun	mission; delegation	明日は朝イチで大事なミッションがあるのだ。こんなことしてる場合じゃない。	Tomorrow, I've got an important mission first thing in the morning. I shouldn't be wasting my time with this.
2421	メガネ	めがね	noun	glasses; eyeglasses; spectacles	私はメガネをなくしたことに気づきました。	I noticed that I had lost my glasses.
2422	付き合い	つきあい	noun	association; socializing; socialising	彼は町の人みんなと付き合いがあった。	He was acquainted with everybody in town.
2423	会見	かいけん	noun	interview; audience; meeting	彼は我々の記者会見の申し出を拒否した。	He refused our offer to arrange a press conference.
2424	体育	たいいく	noun	physical education; PE; gym (class)	体育祭も終わったし、次は中間テストかあ。	Well sports day is over too, next the midterms ...
2425	切る	きる	verb	to cut; to cut through; to perform (surgery)	僕が何も言えないうちに彼は電話を切った。	He hung up before I could say anything.
2426	勝つ	かつ	verb	to win; to gain victory	彼は勝って見せると言ったが確かに勝った。	He said he would win and he did, too.
2427	または	または	conjunction	or; either ... or ...	彼らは英語かフランス語かまたはその両方を話す。	They speak English or French or both.
2428	受信	じゅしん	noun	receiving (a message, letter, email, etc.); reception (radio, TV, etc.)	受信異常があったのだと思います。	There might have been an error during transmission.
2429	各地	かくち	noun	each place; every place; various places	毎年、世界各地に異常な天気が起きています。	Every year brings stranger weather to many areas of the world.
2430	工作	こうさく	noun	handicraft	彼は工作に熟練している。	He is skilled in handicraft.
2431	広い	ひろい	i-adjective	spacious; vast; wide	彼女はもっと広いマンションを探している。	She is looking for a large apartment.
2432	待機	たいき	noun	standing by; awaiting an opportunity; being on alert	秘書はいつも声の届くところに待機しています。	The secretary is within call all the time.
2433	必須	ひっす	adjective	indispensable; essential; requisite	この用紙に必須事項を記入してください。	Please fill out this form.
2434	戦後	せんご	noun	postwar period; period after Second World War	戦後日本は科学技術の面で大いに進歩した。	Since the war, Japan has advanced greatly in science and technology.
2435	探偵	たんてい	noun	detective; investigator; sleuth	彼は探偵小説を読むのに夢中になっている。	He is absorbed in reading detective novels.
2436	接触	せっしょく	noun	touch; contact; touching	私は仕事であらゆる種類の人と接触する。	I come into contact with all kinds of people in my work.
2437	支払い	しはらい	noun	payment	この請求書の支払いは今日になっています。	Payment of this bill is due today.
2438	日曜	にちよう	noun	Sunday	日曜の朝から何年もたったような気がする。	It seems like years since Sunday morning.
2439	柄	がら	noun	pattern; design	職業柄彼は数人の外国人と近づきになっている。	His job has brought him in contact with some foreigners.
2440	格	かく	noun	status; position; rank	将軍の堂々とした格幅は誰でも威圧される。	The general's massive presence awes everyone.
2441	椅子	いす	noun	chair; seat; stool	彼は私が椅子を運ぶのを手伝ってくれた。	He helped me carry the chair.
2442	検証	けんしょう	noun	verification; confirmation; substantiation	公正を正確にするため、データの再検証が必要である。	Reexamination of the data is required to make the formula accurate.
2443	正式	せいしき	na-adjective	formal; official; regular	我々には文学の正式な指導が必要だ。	We need some formal instruction in literature.
2444	汚い	きたない	i-adjective	dirty; filthy; foul	その汚い少年は変装した王子だとわかった。	The dirty boy turned out to be a prince in disguise.
2445	さすが	さすが	adverb	as one would expect; just as you'd expect (from); just like (someone)	本当の事を言ったとはさすがに勇気がある。	You were courageous to tell the truth.
2446	爪	つめ	noun	nail (e.g. fingernail, toenail); claw; talon	彼は爪を噛む癖をやっと直した。	He managed to cure himself of his habit of nibbling his nails.
2447	発揮	はっき	noun	show (of power, ability, etc.); exhibition; demonstration	小説を書く時、私達は想像力を発揮する。	When we write a novel, we exercise our imagination.
2448	真似	まね	noun	imitating; copying; mimicry	子供は両親よりもむしろ友達の真似をする。	Children imitate their friends rather than their parents.
2449	稼ぎ	かせぎ	noun	earnings	彼のわずかな稼ぎで暮らしていくのは困難だった。	It was difficult to live on his meager earnings.
2450	翼	つばさ	noun	wing	私に空を飛ぶ翼があったらいいのになあ。	I wish I had wings to fly.
2451	背	せ	noun	back	彼はその二人の少年のうちの背の低い方だ。	He is the shorter of the two boys.
2452	至る	いたる	verb	to arrive at (e.g. a decision); to reach (a stage); to attain	どんな言葉も彼を説得するには至らなかった。	No words availed to persuade him.
2453	表記	ひょうき	noun	expression in writing; written representation; notation	日本語の難しい点は文字を使った表記の仕方です。	What is difficult about Japanese is how characters are used in its writing system.
2454	表面	ひょうめん	noun	surface; face	惑星の表面はほとんどが水から出来ている。	The surface of a planet is composed mostly of water.
2455	謝罪	しゃざい	noun	apology	私たちの謝罪をどうかお受け下さい。	Please accept our heartfelt apologies.
2456	輸送	ゆそう	noun	transport; transportation; transit	彼の発見は輸送における革命をもたらした。	His discovery gave rise to a revolution in transport.
2457	逆転	ぎゃくてん	noun	reversal (of a situation); turnaround; turnabout	形勢は逆転した。	Now the shoe is on the other foot.
2458	金額	きんがく	noun	amount of money; sum	彼女は私に途方もない金額を要求してきた。	She asked me for an unreasonable sum of money.
2459	鍋	なべ	noun	pan; pot; saucepan	その鍋に触らないで。すごく熱いから。	Don't touch that pan! It's very hot.
2460	長崎	ながさき	noun	Nagasaki (city, prefecture)	長崎にプロサッカーチームをつくりましょう！	Let's put together a pro-soccer team for Nagasaki!
2461	階段	かいだん	noun	stairs; stairway; staircase	私は階段を上っているときに、彼に会った。	I met him on the stairs as I was coming up.
2462	いかが	いかが	adverb	how; in what way; how about	今日の午後、ご一緒にお茶をいかがですか。	Would you like to tea with us this afternoon?
2463	いじめ	いじめ	noun	bullying; teasing	彼は弱いものいじめが好きなのです。	He just loves to bully people.
2464	お父さん	おとうさん	noun	father; dad; papa	彼女のお父さんは、彼女に何でも話させた。	Her father made her tell him everything.
2465	それほど	それほど	adverb	to that degree; to that extent; that much	今日の政治状況はそれほど安定していない。	The current political situation is not very stable.
2466	スイッチ	すいっち	noun	switch	僕は暗闇の中でスイッチを手探りでさがした。	I felt for the switch in the dark.
2467	ダイヤ	だいや	noun	(railway) schedule; timetable	これは本物のダイヤではないかもしれない。	This may not be a real diamond.
2468	ダブル	だぶる	noun	double	シングルになさいますか、ダブルにしますか。	Would you like a single or a double?
2469	テープ	てーぷ	noun	tape	君はそのコンサートをテープにとったか。	Did you tape that concert?
2470	パフォーマンス	ぱふぉーまんす	noun	performance (e.g. music, dance, drama)	あれ？何だろ？パフォーマンスでもやってるのか？	Hello, what's that? Somebody doing street theatre or something?
2471	ラボ	らぼ	noun	lab	この山を登ればラボに着きます。	If you climb up this mountain, you'll reach the lab.
2472	乙	おつ	noun	(the) second (party, rank, etc.); B (grade); the latter	甲の食物は乙の毒。	One man's meat is another man's poison.
2473	亀	かめ	noun	tortoise; turtle	遠くからは、その小さな島は亀のように見えた。	The small island looked like a tortoise from a distance.
2474	予告	よこく	noun	(advance) notice; preliminary announcement; warning	価格は予告なく変更されることがあります。	Prices are subject to change without notice.
2475	人材	じんざい	noun	capable person; talented person	彼は会社にとって重要な人材だ。	He is a valuable acquisition to our company.
2476	今月	こんげつ	noun	this month	彼は今月初めまで私たちのもとにいました。	He stayed with us until the beginning of this month.
2477	体力	たいりょく	noun	physical strength; power; stamina	もっと食べないと体力が付きませんよ。	Eat more, or you won't gain strength.
2478	兵士	へいし	noun	soldier	兵士は自分の命を犠牲にして友人を救った。	The soldier saved his friend at the cost of his own life.
2479	再開	さいかい	noun	reopening; resumption; restarting	嵐の後すぐ、そのラジオ局は放送を再開した。	The radio station came back on the air shortly after the storm.
2480	冷静	れいせい	noun	calmness; composure; coolness	彼らは最高に冷静な判断をする人たちですよ。	They are the coolest of the cool.
2481	割引	わりびき	noun	discount; reduction; rebate	私たちは割引率についての意見が一致した。	We have agreed on the rate of discount.
2482	劇	げき	noun	drama; play	彼らはみな、手品師の劇をじっと見ました。	They all gazed at the magician's movements.
2483	加	か	noun	addition	私は高生加によく会う。	I see much of Takaoka.
2484	司法	しほう	noun	administration of justice; judicature	独裁者は司法権を自分のものとした。	The dictator arrogated judicial powers to himself.
2485	呼吸	こきゅう	noun	breathing; respiration	英語の発音の呼吸がなかなか飲み込めない。	I still can't get the knack of English pronunciation.
2486	圧力	あつりょく	noun	pressure	彼は決して政治家の圧力に屈しないだろう。	He will never yield to the pressure of a politician.
2487	外れ	はずれ	noun	end; verge; extremity	結果はかなり期待外れだった。	The result was rather disappointing.
2488	妙	みょう	na-adjective	strange; weird; odd	妙な話だが、私は何の痛みも感じなかった。	Strange to say, I didn't feel any pain.
2489	実感	じっかん	noun	real feeling; actual feeling	オーストラリアへ行って初めて、日本はなんと小さい国かと実感した。	I didn't realize till I visited Australia how small Japan really is.
2490	庭	にわ	noun	garden; yard; courtyard	犬を私の庭に入れないようにできないかね。	Can't you keep your dog from coming into my garden?
2491	引く	ひく	verb	to pull; to tug; to lead (e.g. a horse)	あなたの引いたカードは赤のマークですね。	The card you drew was a red, wasn't it?
2492	成人	せいじん	noun	adult; grown-up	彼女はアメリカで生まれ、日本で成人した。	She was born in America and grew up in Japan.
2493	日曜日	にちようび	noun	Sunday	野球の試合は来週の日曜日まで延期された。	The baseball game was put off till next Sunday.
2494	来週	らいしゅう	noun	next week	来週の土曜にパーティーを開くつもりです。	We're having a party next Saturday.
2495	消滅	しょうめつ	noun	extinction; extinguishment; disappearance	もし太陽が消滅したら、生物は皆死ぬだろう。	If the sun were to go out, all living things would die.
2496	滞在	たいざい	noun	stay; sojourn	問題の人物は目下アメリカに滞在中である。	The person in question is now staying in America.
2497	狩り	かり	noun	hunting; hunt; shooting	彼らは狩りで獲物をたくさん捕らえた。	They had a good hunt.
2498	矢	や	noun	arrow	７歳の時、すでに自ら弓と矢を作った。	By the age of seven, he had already made his own bow and arrows.
2499	箇所	かしょ	noun	place; point; part	新聞はその演説から数箇所引用していた。	The newspaper extracted several passages from the speech.
2500	紫	むらさき	noun	purple; violet	その色はピンクというより紫だ。	The color is purple rather than pink.
2501	美女	びじょ	noun	beautiful woman	実はね、この地域で一番の美女と結婚する事になったんだ？	I am getting married to the most beautiful girl in town.
2502	膝	ひざ	noun	knee	昨年のスカートは膝のすぐしたまでだった。	Skirts last year reached just below the knees.
2503	表紙	ひょうし	noun	cover (of a book, magazine, etc.); binding	父は表紙の取れた古い辞書を使っています。	My father uses an old dictionary whose cover has come off.
2504	論文	ろんぶん	noun	thesis; essay; treatise	論文は時間をかけて書かなければならない。	You have to take your time over your thesis.
2505	議会	ぎかい	noun	congress; parliament; diet	女王は来週、議会で演説するつもりでいる。	The queen is going to address parliament next week.
2506	起こす	おこす	verb	to raise; to raise up; to set up	彼は自動車事故を起こし保険金を請求した。	He claimed on the insurance after his car accident.
2507	退職	たいしょく	noun	retirement; resignation	彼は３０年勤めた後、その会社を退職した。	He retired from the company after 30 years' service.
2508	通貨	つうか	noun	currency	当局は自国の通貨を何とかして安定させた。	The authorities managed to stabilize the currency.
2509	通過	つうか	noun	passing through (a tunnel, station, town, etc.); passing by (e.g. of a typhoon); transit	通過した車が私のコートに水をはねかけた。	A passing car splashed my coat with water.
2510	適切	てきせつ	na-adjective	appropriate; suitable; fitting	適切な語がないかとあらゆる辞書を調べた。	I searched all the dictionaries to find a suitable word.
2511	録画	ろくが	noun	(video) recording	私はラグビーの試合を録画した。	I recorded a rugby game on videotape.
2512	驚く	おどろく	verb	to be surprised; to be taken aback; to be amazed	彼女はその美しい光景に驚いて立っていた。	She stood astonished at the sight.
2513	たとえ	たとえ	adverb	even if; no matter (what); if	たとえ彼が私を嫌いでも彼と仲良くしよう。	I will be friendly to him even if he doesn't like me.
