rank	word	reading	part_of_speech	meaning	example	translation
2168	油	あぶら	noun	oil	このエンジンが一番油を食う。	This engine consumes the most oil.
2169	減少	げんしょう	noun	decrease; reduction; decline	赤字は徐々に減少している。	The deficit has been diminishing little by little.
2170	無線	むせん	noun	radio (communication)	マルコーニは無線を発明した。	Marconi invented the radio.
2171	犠牲	ぎせい	noun	sacrifice	彼は成功するのに非常な犠牲をはらった。	He paid too high a price for success.
2172	狼	おおかみ	noun	wolf (Canis lupus)	羊が２匹狼に殺されました。	Two sheep were killed by a wolf.
2173	研究所	けんきゅうじょ	noun	research institute; (research) laboratory	彼は生物研究所に１０年近く従事している。	He has been engaged in the study of biology for nearly ten years.
2174	端末	たんまつ	noun	terminal; computer terminal	コンピューター端末はずっと一列に並んでいた。	The computer terminals were lined up in one long row.
2175	苦労	くろう	noun	trouble; hardship; difficulty	彼女はずいぶん苦労したらしい。	She seems to have had a very hard time.
2176	請求	せいきゅう	noun	claim; demand; charge	ご請求次第カタログをお送りします。	Our catalog will be sent on demand.
2177	資産	しさん	noun	property; fortune; means	彼女はちょっとした資産を持っている。	She has some money of her own.
2178	輸入	ゆにゅう	noun	import; importation; introduction	輸入車は８％未満しか占めていない。	Imported cars account for less than eight percent.
2179	返事	へんじ	noun	reply; answer; response	もっと早く返事を出さないでいてすみません。	Sorry I didn't reply sooner.
2180	遠く	とおく	noun	far away; distant place; a (great) distance	彼は故郷から遠く離れて住んでいる。	He lives far away from his hometown.
2181	部門	ぶもん	noun	division (of a larger group); branch; field	この会社は通信部門でよく知られている。	This corporation is well known for its communication equipment.
2182	長期	ちょうき	adjective	long-term	試験がすんだら長期休暇をとるつもりだ。	When I can get through my exams, I will take a long vacation.
2183	電源	でんげん	noun	source of electricity; electrical power	回路を調べる前に、電源のスイッチを切りなさい。	You must switch off the power before checking the circuit.
2184	領域	りょういき	noun	territory; domain	自然はあらゆる領域で侵されている。	Nature is under attack on all fronts.
2185	騎士	きし	noun	(medieval) knight	その騎士は勇敢と言うよりも向こう見ずだ。	The knight is not so much brave as reckless.
2186	いただける	いただける	verb	to be able to receive; to be able to take; to be able to accept	もっとゆっくり話していただけませんか。	Could you speak more slowly?
2187	きり	きり	noun	end; finish; place to stop	私の生きている限り、君を援助しよう。	I'll help you as long as I live.
2188	もう一度	もういちど	expression	once more; again	すみません、もう一度ゆっくり言ってください。	Excuse me, could you say that again more slowly?
2189	パス	パス	noun	passing (an examination, inspection, etc.)	私はそこのプールのパスを持っている。	I've got a pass for the swimming pool.
2190	パートナー	パートナー	noun	(dance) partner	彼は私のよきパートナーだ。	He is my good partner.
2191	ポール	ポール	noun	pole	そのポールは左に傾いた。	The pole inclined to the left.
2192	メモ	メモ	noun	note; memo; memorandum	彼女の言うことは必ずメモを取って下さい。	Be sure to take a note of what she says.
2193	リード	リード	noun	lead; leading; taking the lead	彼女が二メートルリードしている。	She is leading by two meters.
2194	世間	せけん	noun	world; society; people	彼は世間一般の学生とは違っている。	He differs from the common run of student.
2195	先日	せんじつ	noun	the other day; a few days ago	先日父によって書かれた本を発見した。	The other day I discovered a book written by my father.
2196	勘違い	かんちがい	noun	misunderstanding; mistaken idea; wrong guess	彼女が会いにくるだろうと思ったのは彼の勘違いだった。	He was in error in assuming that she would come to see him.
2197	北朝鮮	きたちょうせん	noun	North Korea	それだけ北朝鮮は（中国も）狡猾なんです。	That's just how cunning North Korea is (and China, too).
2198	同時	どうじ	noun	same time	彼は口と手が同時に出てしまう人だ。	He accompanies his words with blows.
2199	底	そこ	noun	bottom; sole	底を持ってくれ。	Grab the bottom.
2200	延長	えんちょう	noun	extension; elongation; prolongation	市はバス路線を１０Ｋｍ延長した。	The city expanded the bus route 10Km further.
2201	復帰	ふっき	noun	return; reversion; comeback	まもなく彼女は舞台に復帰するだろう。	Before long she will come back to the stage.
2202	承認	しょうにん	noun	recognition; acknowledgement; acknowledgment	みんなその計画を承認した。	All of us approved of the plan.
2203	散歩	さんぽ	noun	walk; stroll	散歩しましょう。	Let's take a walk.
2204	数学	すうがく	noun	mathematics	私は数学をまったく勉強しませんでした。	I didn't study math at all.
2205	新幹線	しんかんせん	noun	Shinkansen; bullet train	次の新幹線は９時ちょうどに出ます。	The next Shinkansen train leaves at just nine o'clock.
2206	熱い	あつい	i-adjective	hot (to the touch)	熱いコーヒーを入れてあげましょう。	Let me make you a cup of hot coffee.
2207	狙い	ねらい	noun	aim (of a gun, bow, etc.)	彼のねらいが何だかわかってきた。	I began to see what he was getting at.
2208	真剣	しんけん	na-adjective	serious; earnest	君の将来について真剣に話をしよう。	Let's have a serious talk about your future.
2209	移行	いこう	noun	transition; changeover; switchover	農場生活から都市の生活への移行は困難なことが多い。	The transition from farm life to city life is often difficult.
2210	競争	きょうそう	noun	competition; contest; rivalry	彼女はその１００メートル競争で優勝した。	She won the one hundred meter race.
2211	素直	すなお	na-adjective	obedient; meek; docile	素直に言えば、君は誤りを犯した。	Frankly speaking, you made a mistake.
2212	羽	はね	noun	feather; plume; down	６４４羽だ。そして彼女は眠ってしまった。	Six hundred and forty-four... and she went to sleep.
2213	自慢	じまん	noun	pride (in one's achievements, possessions, etc.); self-praise; boast	口自慢の仕事下手。	Great talkers are little doers.
2214	訪れ	おとずれ	noun	visit; call	昨年に比べて今年は春の訪れが遅かった。	Spring has come later this year compared with last year.
2215	訴訟	そしょう	noun	lawsuit; suit; (legal) action	私はその医者を相手取って訴訟を起こした。	I brought a suit against the doctor.
2216	貢献	こうけん	noun	contribution (furthering a goal or cause); services (to a cause)	市長は市に対する彼女の貢献に感謝した。	The mayor acknowledged her services to the city.
2217	軸	じく	noun	axis; shaft; axle	彼は軸のような重要な役割を演じた。	He played an important part like an axis.
2218	道具	どうぐ	noun	tool; implement; instrument	この道具はちゃんと使えばとても役に立つ。	If it is used properly, this tool will be a great help.
2219	遠い	とおい	i-adjective	far; distant; far away	そんなに遠くありません。	It's not so far.
2220	遺伝子	いでんし	noun	gene	後者の能力はすべて遺伝によって私達に伝えられる。つまり、親から受けつぐ遺伝子を通して私たちはそうした能力を受け取るのである。	All of these abilities are passed on to us by genetic transmission; we receive them by way of the genes that we inherit from our parents.
2221	配布	はいふ	noun	distribution	先生は生徒たちにプリントを配布した。	The teacher distributed the handouts to the students.
2222	里	り	noun	Japanese league; ri; old Japanese unit of distance, approx. 3.927 km or 2.44 miles	１００里を行く者は９９里を半ばとする。	There's many a slip between the cup and the lip.
2223	金属	きんぞく	noun	metal	雷は金属に落ちやすい。	Lightning is liable to hit metal.
2224	開く	あく	verb	to open (e.g. doors)	あんまお腹空いてないんだ。	I'm not really hungry.
2225	防止	ぼうし	noun	prevention; check	彼は、動物虐待防止会に入っています。	He belongs to the Society for the Prevention of Cruelty to Animals.
2226	飛行	ひこう	noun	flight; flying; aviation	大陸横断飛行はまだ大胆な冒険的な事業だった。	Flight across the continent was still a daring venture.
2227	飛行機	ひこうき	noun	airplane; aeroplane; plane	私の乗った飛行機が無事に着陸してほっとした。	I felt relieved when my plane landed safely.
2228	だいたい	だいたい	adverb	generally; on the whole; mostly	その仕事はだいたい終わっている。	The work is actually finished.
2229	コンサート	コンサート	noun	concert	病気のため彼のコンサートに行けなかった。	Illness prevented me from going to his concert.
2230	ゴール	ゴール	noun	goal (in soccer, hockey, etc.); basket (in basketball)	少年はゴールに向かって走りまくった。	The boy ran and ran toward the goal.
2231	ツール	ツール	noun	tool	生産性をあげるため新たなツールを探してます。	We'll employ a new tool to increase productivity.
2232	パート	パート	noun	part	その試験は２つのパートに分かれていた。	The exam was divided into two parts.
2233	ホームページ	ホームページ	noun	home page (of a website or browser); homepage	ホームページの人気は内容次第。	The popularity of a web site depends on its content.
2234	マスク	マスク	noun	(face) mask	花粉よりも小さな黄砂をマスクでどれだけ防ぐことが出来るのか？花粉よりもずっと厄介者のように思います。	Just how well can masks block the, even smaller than pollen, yellow sand dust? I think it much more of a nuisance than pollen.
2235	メニュー	メニュー	noun	menu	メニューを見せて下さい。	Please let me take a look at the menu.
2236	了解	りょうかい	noun	comprehension; consent; understanding	我々には互いに支持しあおうという暗黙の了解があった。	We had an implicit agreement that we would support each other.
2237	予測	よそく	noun	prediction; estimation	１９９８年の需要予測です。	Here is the demand forecast for 1998.
2238	付近	ふきん	noun	neighborhood; neighbourhood; vicinity	２５号線北方面の入り口付近にいます。	I'm near the on ramp to 25 north.
2239	作者	さくしゃ	noun	creator (of a work); author; writer	作者は恋人に対する情熱を表現している。	The author expresses his passion for his love.
2240	充実	じゅうじつ	noun	fullness; completeness; perfection	大いに充実した学生生活を送りたい。	I want to have a full and enriching student-life.
2241	先行	せんこう	noun	going ahead; going first	稲光は雷の音に先行する。	The flash of lightning precedes the sound of thunder.
2242	冒険	ぼうけん	noun	adventure; venture	素敵に面白い冒険物語。	An absorbing tale of adventure.
2243	冗談	じょうだん	noun	joke; jest; funny story	彼女の冗談のためみんな笑った。	Her jokes made us all laugh.
2244	出場	しゅつじょう	noun	participation (in a tournament, match, race, etc.); entry; taking part (in)	２０チームがトーナメントに出場した。	Twenty teams entered the tournament.
2245	前提	ぜんてい	noun	condition; assumption; prerequisite	私たちは結婚を前提として交際しています。	We are dating with a view to marriage.
2246	告白	こくはく	noun	confession (to a crime, wrongdoing, etc.); admission	牧師は彼女のキリスト信仰の告白を聞いた。	The minister listened to her profession of Christianity.
2247	国立	こくりつ	adjective	national; founded and run by the central government	老人のための国立の病院がもっとあってしかるべきだ。	There should be more national hospitals for old people.
2248	対戦	たいせん	noun	fighting (against); taking on (an opponent); facing	彼はあしたヘビー級チャンピオンと対戦する。	He will fight the heavyweight champion tomorrow.
2249	寿司	すし	noun	sushi; range of dishes made with vinegared rice combined with fish, vegetables, egg, etc.	寿司を食べてみませんか。	How about trying some sushi?
2250	従来	じゅうらい	noun	up to now; so far	彼は従来の習慣と違ったことをした。	He departed from the old custom.
2251	怪我	けが	noun	injury; wound	彼女のけがは、かなり悪かったようだ。	It appears that her injury was pretty bad.
2252	明治	めいじ	noun	Meiji era (1868.9.8-1912.7.30)	明治は５対３のスコアで慶応に敗れた。	Meiji was beaten by Keio by a score of three to five.
2253	材料	ざいりょう	noun	materials; ingredients	このケーキは最高の材料で作られている。	This cake is made of the finest ingredients.
2254	棒	ぼう	noun	pole; rod; stick	その棒は交差しておかれた。	The sticks were laid across each other.
2255	権力	けんりょく	noun	(political) power; authority; influence	国王は権力を奪われた。	The king was deprived of his power.
2256	機種	きしゅ	noun	model (of machine, device)	古い機種に比べてこちらの方がずっと使いやすい。	As compared with the old model, this is far easier to handle.
2257	次回	じかい	noun	next time (occasion)	次回はもっと早く来ていただけませんか。	Would you mind coming earlier next time?
2258	毎週	まいしゅう	noun	every week	彼は毎週２〜３ドル貯金していた。	He laid aside a few dollars each week.
2259	比較的	ひかくてき	adverb	comparatively; relatively	通貨市場、債券市場は比較的落ち着いている。	Currency and bond markets are relatively calm.
2260	民族	みんぞく	noun	people; race; nation	その当時、そこには未開民族が住んでいた。	A savage tribe lived there in those days.
2261	激しい	はげしい	i-adjective	violent; furious; tempestuous	その２チームは激しく戦った。	The two teams fought very hard.
2262	珍しい	めずらしい	i-adjective	rare; uncommon; unusual	この秋は、珍しくドラマをたくさん見ている。	This autumn I am, unusually, watching many drama series.
2263	票	ひょう	noun	vote; ballot	棄権が二票あった。	There were two abstentions.
2264	立つ	たつ	verb	to stand (up); to rise; to get to one's feet	私はひどく疲れていて立っていられなかった。	I was too tired to stand.
2265	総理	そうり	noun	prime minister (as the head of a cabinet government); premier	総理は辞職しなければならなかった。	The minister had to resign.
2266	考慮	こうりょ	noun	consideration; taking into account	彼らの考えを考慮しなくてはなりません。	You must take their ideas into account.
2267	茶	ちゃ	noun	tea	わたしはコーヒーよりも茶をこのむ。	I prefer tea to coffee.
2268	解釈	かいしゃく	noun	interpretation; explanation; reading	私の奇妙な夢を解釈して下さい。	Please interpret my strange dreams.
2269	警備	けいび	noun	defense; defence; guard	たくさんの警官がホールを警備した。	A lot of policemen guarded the hall.
2270	違法	いほう	na-adjective	illegal; illicit; unlawful	違法コピーはいけません。	You really shouldn't use pirated software.
2271	風俗	ふうぞく	noun	manners; customs	その地方ではその古い風俗がなお存続している。	The old custom is still kept up in that district.
2272	香り	かおり	noun	aroma; fragrance; scent	バラの香りがその部屋いっぱいに漂っていた。	The perfume of roses filled the room.
2273	うるさい	うるさい	i-adjective	noisy; loud	彼は食べ物についてとても好みがうるさい。	He is very particular about his food.
2274	ついてる	ついてる	expression	to be lucky; to be in luck	昨日は全くついていなかった。	It just was not my day yesterday.
2275	もっとも	もっとも	conjunction	but then; although; though	彼を解雇するもっともな理由がある。	There is a good argument for dismissing him.
2276	クロス	クロス	noun	cross	二本の道はそこでクロスしている。	The two roads cross there.
2277	コイン	コイン	noun	coin	これらの古いコインは彼女にもらった。	I got these old coins from her.
2278	コレクション	コレクション	noun	collection (of art, stamps, etc.); collecting	彼は私に切手のコレクションを見せてくれた。	He showed me his stamp collection.
2279	ジャパン	ジャパン	noun	Japan	ＡＢＣジャパンの経営チームにようこそ。	Welcome to the management team at ABC Japan.
2280	テーブル	テーブル	noun	table	みんなテーブルについて。	Sit at the table.
2281	ドレス	ドレス	noun	dress	彼女は新しいドレスをひどく欲しがっている。	She wants a new dress badly.
2282	バン	バン	noun	bun (hairstyle)	二台のバンが激突してめり込んだ。	The two vans telescoped together.
2283	パーツ	パーツ	noun	part; component	台座に心棒を立てて、各パーツをずらしながら重ねていきます。	You stand the axis on the base and then proceed to stack up each part, staggering their position.
2284	メキシコ	メキシコ	noun	Mexico	おいしいメキシコ料理のレストランを見つけました。	I found a good Mexican restaurant.
2285	ロゴ	ロゴ	noun	logo	デザインも、アーチ型のロゴデザインにより現代的で「登場感」「躍動感」のあるものに仕上げました。	The design was also given the finishing touch to have launch impact and dynamism provided by the novelty of the arch shaped logo design.
2286	休憩	きゅうけい	noun	rest; break; recess	彼は昨夜休憩しないで働き続けた。	He went on working without a break last night.
2287	作用	さよう	noun	action; operation; process	酸は、金属に作用する。	Acid acts on metals.
2288	供給	きょうきゅう	noun	supply; provision; service	最近、この製品に対する需要が供給を上まわっている。	Recently the demand for this product has increased faster than the supply.
2289	俳優	はいゆう	noun	actor; actress; player	やっとジェームス・ボンドは俳優として成功した。	At last, James Bond made it as an actor.
2290	公表	こうひょう	noun	official announcement; proclamation	ケリーはその事実を公表した。	Kelly brought the matter to light.
2291	判明	はんめい	noun	becoming clear; coming to light; being ascertained	彼の推測は結局正しいことが判明した。	His guess turned out to be right.
2292	動作	どうさ	noun	movement (of the body); action; motion	彼の娘は動作がきびきびしている。	His daughter is quick in her movements.
2293	勢力	せいりょく	noun	influence; power; might	彼の勢力は国中に及んでいる。	His influence extends all over the country.
2294	半年	はんとし	noun	half a year; six months	学生時代、イギリスに半年留学しました。	I studied in England for six months when I was a student.
2295	地上	ちじょう	noun	above ground; on the ground; earth's surface	地上のすべての生物は互いに依存し合っている。	All living things on earth depend one another.
2296	塾	じゅく	noun	cram school; private tutoring school; juku	彼は塾で勉強している。	He studies at a cram school.
2297	大半	たいはん	noun	majority; more than half; most (of)	大手銀行の大半がこの制度を導入している。	The majority of big banks are introducing this system.
2298	大幅	おおはば	na-adjective	big; large; drastic	大幅に昇給した。	I got a big pay raise.
2299	女王	じょおう	noun	queen; female monarch; female sovereign	女王はバッキンガム宮殿に住んでいる。	The Queen lives in Buckingham Palace.
2300	対立	たいりつ	noun	confrontation; opposition; antagonism	彼は対立を引き起こそうと、わざとしつこくした。	He deliberately kept on provoking a confrontation.
2301	市内	しない	noun	in the city; within the city	このバスに乗れば市内一周が出来ます。	This bus will take you around the city.
2302	廃止	はいし	noun	abolition; discontinuance; discontinuation	これらの古い規則を廃止しなければならない。	We must do away with these old rules.
2303	引用	いんよう	noun	quotation; citation; reference	彼はしばしばシェイクスピアから引用する。	He often quotes from Shakespeare.
2304	待つ	まつ	verb	to wait	電話を切らないでそのままお待ち下さい。	Hold the line, please.
2305	息	いき	noun	breath; breathing	息を深く吸ったり吐いたりしてください。	Take a deep breath in and out, please.
2306	意図	いと	noun	intention; aim; design	彼は君の仕事を妨害する意図など持っていない。	He has no intention to interfere with your business.
2307	晩	ばん	noun	evening; night	彼女の笑いはその晩にはふさわしくなかった。	Her laughter was not becoming that evening.
2308	暑い	あつい	i-adjective	hot; warm; sultry	とても暑くて、それ以上我慢できなかった。	It was hot. I couldn't stand it any longer.
2309	格好	かっこう	noun	shape; form; figure	こんな格好でしつれいします。	Pardon me for being in this dress.
2310	欄	らん	noun	section (e.g. in a newspaper); column; page	注はページの下欄についている。	The notes are at the bottom of the page.
2311	歩く	あるく	verb	to walk	疲れていてこれ以上歩けません。	I'm too tired to walk any further.
2312	民主党	みんしゅとう	noun	Democratic Party	彼女は民主党に所属しています。	She belongs to the Democratic Party.
2313	洗濯	せんたく	noun	washing; laundry	このシャツを洗濯する必要があります。	You need to wash this shirt.
2314	漢字	かんじ	noun	kanji; Chinese character	漢字を少し教えてください。	Teach me some kanji, please.
2315	田舎	いなか	noun	rural area; countryside; the sticks	田舎に滞在している間、私は楽しく過ごした。	I had a good time while I stayed in the country.
2316	症状	しょうじょう	noun	symptoms; condition (of a patient)	これらの症状の原因はまだ分かっていない。	What accounts for these symptoms hasn't been discovered yet.
2317	皮	かわ	noun	skin; hide; pelt	モモの皮は傷みやすい。	The skin of peaches bruises easily.
2318	直前	ちょくぜん	noun	just before; just prior to	私が電話したとき、ボブは出かける直前だった。	Bob was on the point of leaving when I rang him up.
2319	英国	えいこく	noun	United Kingdom; Britain; Great Britain	英国紳士のように振舞ってください。	Please behave like an English gentleman.
2320	視点	してん	noun	point of view; viewpoint; angle	うっ！日本酒が効いてきた。視点があわなくてまっすぐ歩けない。	Whoo! I'm feeling that sake. I'm getting blurred vision and I can't walk straight.
2321	観察	かんさつ	noun	observation; survey; watching	昨夜、屋上から星を観察した。	Last night, we watched the stars from the rooftop.
2322	閉鎖	へいさ	noun	closing; closure	その博物館は今は閉鎖している。	The museum is closed now.
2323	需要	じゅよう	noun	demand; need	コーヒーに対する需要は大きい。	There is a big market for coffee.
2324	めちゃくちゃ	めちゃくちゃ	na-adjective	absurd; unreasonable; nonsensical	仕事がめちゃくちゃ忙しかったんです。	I've been snowed under with work lately.
2325	アウト	アウト	noun	out (of a ball; in tennis, etc.); outside the line	最初の打者はアウトになった。	The first batter was caught out.
2326	ウイルス	ウイルス	noun	virus	私のウイルス対策用ソフトウエアは不良品でした。	Apparently my anti-virus software is not up to snuff.
2327	サンプル	サンプル	noun	sample; example; specimen	サンプルが必要でしたらご連絡下さい。	If you would like to have a sample, please let us know.
2328	スタジオ	スタジオ	noun	studio	スタジオに入れません。	We cannot go into the studio.
2329	タクシー	タクシー	noun	taxi	来月タクシー料金があがります。	Taxi fares will go up next month.
2330	一致	いっち	noun	agreement; accord; correspondence	なんと不思議な偶然の一致だろう。	What a coincidence!
2331	不正	ふせい	noun	injustice; unfairness; wrongdoing	ときどき不正出血があります。	I sometimes have abnormal vaginal bleeding.
2332	仲良く	なかよく	adverb	on good terms (with); on friendly terms (with); (getting along) well	我々はとても仲良くやっている。	We are getting on first-rate.
2333	出力	しゅつりょく	noun	output (electrical, signal, etc.)	ディスクと出力紙をかばんに詰めて下さい。	Please pack the disks and hard copies into the briefcase.
2334	収集	しゅうしゅう	noun	collecting; accumulating; gathering	データを収集するため、次の実験を行った。	They conducted the following experiment to collect the data.
2335	多様	たよう	na-adjective	diverse; various	彼の才能は大変素晴らしくそして多様であった。	His abilities were very great and various.
2336	姉妹	しまい	noun	sisters	その姉妹はとても良く似ている。	The sisters are quite alike.
2337	岩	いわ	noun	rock; boulder	上から岩が落ちてきた。	A rock fell from above.
2338	弁当	べんとう	noun	bento; Japanese box lunch	暖かい弁当が買える。	We can buy hot lunches.
2339	形成	けいせい	noun	formation; molding; making (up)	男は社会を形成する。	The men form a society.
2340	微妙	びみょう	na-adjective	subtle; delicate; fine	私はかなり微妙な立場にある。	I find myself in a rather delicate situation.
2341	我	われ	pronoun	I; me	我思う、故に我あり。	I think, therefore I am.
2342	才	さい	noun	ability; gift; talent	９０歳以上生きることは決してまれではない。	It is not rare at all to live over ninety years.
2343	族	ぞく	noun	tribe; race; people	インカ族は幅広い興味を持っていた。	The Incas had a wide range of interests.
2344	暗殺	あんさつ	noun	assassination	彼は自分を暗殺しようという陰謀を知らなかった。	He was ignorant of the plot to assassinate him.
2345	楽しむ	たのしむ	verb	to enjoy; to take pleasure in; to have a good time	さあ、楽しんでいらっしゃい。	Now, go have a good time.
2346	武装	ぶそう	noun	arms; armament; taking up arms	その兵士たちは武装していた。	The soldiers were equipped with weapons.
2347	池	いけ	noun	pond	その池は直径１００メートルある。	The pond is 100 meters in diameter.
2348	済む	すむ	verb	to finish; to end; to be completed	済んだら戻してください。	Bring it back when you are through.
2349	直	じき	na-adjective	soon; in a moment; before long	彼女はじきよくなるだろう。	She will get well soon.
2350	立派	りっぱ	na-adjective	splendid; fine; handsome	いっしょうけんめい勉強して、立派な人になりましょう。	Let's study hard and become great men.
2351	競馬	けいば	noun	horse racing	彼は競馬で時間をむだに過ごした。	He wasted his time on gambling at the horse races.
2352	缶	かん	noun	can; tin	この缶にはおよそ４ガロン入る。	This can holds about 4 gallons.
2353	脱出	だっしゅつ	noun	escape; getting away (from); getting out (of)	何とかそこから脱出した。	We made it out of there.
2354	自民党	じみんとう	noun	Liberal Democratic Party; LDP	自民党はみそぎが必要ですね。	The LDP needs a spiritual cleansing.
2355	英雄	えいゆう	noun	hero; heroine; great person	現代の英雄はロックスターが代表している。	Modern heroes are represented by rock stars.
2356	衛星	えいせい	noun	(natural) satellite; moon	衛星の中には爆発したものや衝突した物もある。	Some satellites have exploded or collided.
2357	補助	ほじょ	noun	assistance; support; help	共和党は民主党の地方人気とり補助金政策を非難しました。	The GOP accused the Democrats of pork barrel politics.
2358	要請	ようせい	noun	appeal; call for something; request	そういう事情なのでその要請は認められない。	Under the circumstances I cannot allow the request.
2359	設立	せつりつ	noun	establishment; founding	その企業はトンネル会社を設立しました。	The corporation set up a dummy company.
2360	財産	ざいさん	noun	property; fortune; assets	彼女の財産は少ない。	Her means are small.
2361	連合	れんごう	noun	union; combination; alliance	党が連合して、新しい政府となった。	A combination of parties formed the new government.
2362	連邦	れんぽう	noun	federation (of states); confederation; commonwealth	ＵＳＳＲはソビエト社会主義共和国連邦を表しています。	U.S.S.R. stands for the Union of Soviet Socialist Republics.
2363	もしか	もしか	adverb	if; in case; supposing	もしかこの方面に来るようなことがあったらお寄りください。	If you come this way by any chance, drop in to see me.
2364	アイデア	アイデア	noun	idea	昨日よいアイデアが浮かんだ。	Yesterday I hit on a good idea.
2365	オール	オール	noun	all	このボートは６本オールだ。	This boat has six oars.
2366	キリスト	キリスト	noun	Christ	牧師は彼女のキリスト信仰の告白を聞いた。	The minister listened to her profession of Christianity.
2367	クリック	クリック	noun	(mouse) click	画像をクリックすると次ページへ移ります！	Click the picture to go to the next page!
2368	クール	クール	na-adjective	cool (temperature, color, etc.)	彼女のクールな視線に、俺はドキッとした。	Her cool gaze made my heart skip a beat.
2369	コート	コート	noun	coat	このコートは素敵だけど高価すぎる。	This coat is nice, but too expensive.
2370	セクシー	セクシー	na-adjective	sexy	彼はとてもセクシーだ。	He's very sexy.
2371	ブーム	ブーム	noun	boom; craze; fad	ブームは峠を越した。	The boom has peaked out.
2372	不良	ふりょう	adjective	bad; poor; inferior	不良たちは彼を殴り倒して財布を奪った。	The delinquents knocked him down and stole his wallet.
2373	中古	ちゅうこ	adjective	used; second-hand; old	私の車は中古だ。	My car is a used one.
2374	体調	たいちょう	noun	physical condition; state of health; shape	よく眠った後で体調は最もよい状態だった。	I was at my best after a good sleep.
2375	先週	せんしゅう	noun	last week; the week before	先週止めたところからまた読み始めましょう。	Let's resume reading where we left off last week.
2376	刺激	しげき	noun	stimulus; stimulation; irritation (esp. of the body, e.g. skin, eyes)	辛くて刺激の多いものは食べないように。	You shouldn't eat anything spicy.
2377	創造	そうぞう	noun	creation	神は宇宙を創造した。	God made the universe.
2378	化粧	けしょう	noun	make-up; makeup; cosmetics	彼女はいつもうまく化粧している。	She is always well made up.
2379	吸収	きゅうしゅう	noun	absorption; suction; attraction	彼は新しい思想を吸収した。	He absorbed new ideas.
2380	天然	てんねん	noun	nature; spontaneity	天然物中に利用しえるものがたくさんあります。	There are many natural objects that we can put to use.
2381	実質	じっしつ	noun	substance; essence	彼の提案は実質上命令であった。	His suggestion was, effectively, an order.
2382	屋根	やね	noun	roof	その木は屋根よりも高く立っている。	The tree stands higher than the roof.
2383	才能	さいのう	noun	talent; ability	才能ある者を抑えておくことはできない。	You can't keep a good man down.
2384	改革	かいかく	noun	reform; reformation; reorganization	教育の改革はまだまだこれからだ。	Educational reforms still have a long way to go.
2385	構築	こうちく	noun	construction; building; putting up	ペリーはエメット理論がニュートン物理学とは無関係に構築されたと考えているが、それは誤っている。	Perry is mistaken in thinking that Emmet's theory was constructed without reference to Newtonian physics.
2386	正体	しょうたい	noun	true character; true form; true colors	猫かぶりしてもお前の正体は分かっているよ。	You are a wolf in sheep's clothing.
2387	港	みなと	noun	harbour; harbor; port	昔、この港は繁栄していた。	Formerly this harbor was prosperous.
2388	生まれる	うまれる	verb	to be born	彼は紳士として生れ育てられた。	He was born and bred a gentleman.
2389	相変わらず	あいかわらず	adverb	as usual; as always; as before	相変わらずまだ寒い。	It is still as cold as ever.
2390	突破	とっぱ	noun	breaking through; breakthrough; penetration	我が軍は敵の防御を突破した。	Our army broke through the enemy defenses.
2391	若干	じゃっかん	adjective	some; few; a number of	彼は話を和らげるために若干の冗談を必要とする。	He needs a few jokes to lighten up his talk.
2392	訴え	うったえ	noun	lawsuit; complaint	彼は僕の訴えを聞こうとしなかった。	He was deaf to my pleas.
2393	貸し	かし	noun	loan; lending; hire	今持っているお金はすべてお貸ししましょう。	I will lend you what little money I have now.
2394	通知	つうち	noun	notice; notification; report	その通知はひどい印刷だった。	The notice was badly printed.
2395	関わる	かかわる	verb	to be involved (in); to get involved (in); to concern oneself (with)	あいつとは今後関わらない。	I've done with him for the future.
2396	お菓子	おかし	noun	confections; sweets; candy	お母さんだけがこのお菓子をつくれます。	Mom alone can make this cake.
2397	どんなに	どんなに	adverb	how; how much; to what extent	もっと注意していればどんなによかったか！	How I wish I had been more careful!
2398	まくる	まくる	verb	to turn up; to roll up (e.g. sleeves)	少年はゴールに向かって走りまくった。	The boy ran and ran toward the goal.
2399	カップル	カップル	noun	couple	あのカップルはほとんど毎日酔っ払っている。	That couple gets soused nearly every night.
2400	ジャケット	ジャケット	noun	jacket	このジャケットはぴったり合う。	This jacket sets well.
2401	テニス	テニス	noun	tennis	昨日初めてテニスをしました。	I played tennis yesterday for the first time.
2402	パー	パー	noun	paper (in rock-paper-scissors)	「じゃんけんね」「ぐー」「ちょ・・パー」「後出しかよ！」	Rock-paper-scissors, OK? "Rock." "Sciss... paper." "You cheated!"
2403	ベル	ベル	noun	bell	電話はベルによって発明された。	The telephone was invented by Bell.
2404	メイド	メイド	noun	maid	メードがケーキを持って入って来た。	The maid came in bearing a cake.
2405	主人	しゅじん	noun	head (of a household); proprietor (of a store); proprietress	主人を呼んでいただけませんか。	Would you call up my husband?
2406	代理	だいり	noun	representation; agency; proxy	留守の間私の代理をしていただけますか。	Could you act for me while I'm out?
2407	保管	ほかん	noun	charge; custody; safekeeping	その書類に関しては私が保管しています。	As for the papers, I have custody of them.
2408	具	ぐ	noun	tool; means	ぎょうざの具のあまりは？餃子を家で作りましたが、皮が少なかったせいか、具が少し余ってしまいました。	Gyoza stuffing? I made some gyoza at home but, possibly because I didn't have enough dough, I had some of the filling left over.
