#separator:tab
#html:true
#columns:Point	PointRuby	Level	Meaning	Formation	Notes	Contrast	Examples	Tags
#tags column:9
〜に関して	〜に<ruby>関<rt>かん</rt></ruby>して	N3	regarding ~	Noun + に関して	A formal equivalent of について.	に関して is formal; について neutral.	<div class="ex"><div class="jp">その<ruby>件<rt>けん</rt></ruby>に<ruby>関<rt>かん</rt></ruby>して<ruby>質問<rt>しつもん</rt></ruby>があります。</div><div class="en">I have a question regarding that matter.</div></div><div class="ex"><div class="jp"><ruby>環境<rt>かんきょう</rt></ruby>に<ruby>関<rt>かん</rt></ruby>する<ruby>本<rt>ほん</rt></ruby>を<ruby>読<rt>よ</rt></ruby>みました。</div><div class="en">I read a book concerning the environment.</div></div><div class="ex"><div class="jp">この<ruby>事<rt>こと</rt></ruby>に<ruby>関<rt>かん</rt></ruby>してはあなたの<ruby>意見<rt>いけん</rt></ruby>に<ruby>賛成<rt>さんせい</rt></ruby>です。</div><div class="en">In this regard, I agree with you.</div></div><div class="ex"><div class="jp">この<ruby>件<rt>けん</rt></ruby>に<ruby>関<rt>かん</rt></ruby>して<ruby>何<rt>なに</rt></ruby>か<ruby>言<rt>い</rt></ruby>うことはありますか。</div><div class="en">Do you have anything to say with regard to this matter?</div></div>	jlpt::N3
〜ぬ・〜ん	〜ぬ・〜ん	N3	not ~ (archaic negative)	Verb ない-stem + ぬ	Survives in set phrases and formal writing: 知らぬ, 見ぬ.	ぬ is archaic or literary; ない is standard.	<div class="ex"><div class="jp"><ruby>見知<rt>みし</rt></ruby>らぬ<ruby>人<rt>ひと</rt></ruby>に<ruby>声<rt>こえ</rt></ruby>をかけられた。</div><div class="en">A stranger spoke to me.</div></div><div class="ex"><div class="jp"><ruby>思<rt>おも</rt></ruby>わぬ<ruby>結果<rt>けっか</rt></ruby>になった。</div><div class="en">It turned out unexpectedly.</div></div>	jlpt::N3
〜はずがない	〜はずがない	N3	cannot possibly be ~	Plain form + はずがない	The speaker&#x27;s reasoning rules the possibility out.	はずがない reasons it out; わけがない is flatly impossible.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>が<ruby>犯人<rt>はんにん</rt></ruby>のはずがない。</div><div class="en">He cannot possibly be the culprit.</div></div><div class="ex"><div class="jp">そんなに<ruby>簡単<rt>かんたん</rt></ruby>なはずがない。</div><div class="en">It can&#x27;t possibly be that easy.</div></div><div class="ex"><div class="jp">そのような<ruby>高度<rt>こうど</rt></ruby><ruby>経済<rt>けいざい</rt></ruby><ruby>成長<rt>せいちょう</rt></ruby>が<ruby>続<rt>つづ</rt></ruby>くはずがない。</div><div class="en">Such drastic economic growth cannot be sustained.</div></div><div class="ex"><div class="jp">その<ruby>女<rt>おんな</rt></ruby>の<ruby>子<rt>こ</rt></ruby>がそんなことをしたはずがない。</div><div class="en">The girl can&#x27;t have done such a thing.</div></div>	jlpt::N3
〜ば〜のに	〜ば〜のに	N3	if only ~ (regret)	ば-form + のに	Counterfactual regret about what did not happen.	のに here regrets; たら〜のに is similar but softer.	<div class="ex"><div class="jp">もっと<ruby>勉強<rt>べんきょう</rt></ruby>すればよかったのに。</div><div class="en">If only you had studied more.</div></div><div class="ex"><div class="jp"><ruby>車<rt>くるま</rt></ruby>があれば<ruby>便利<rt>べんり</rt></ruby>なのに。</div><div class="en">If only I had a car, it would be convenient.</div></div>	jlpt::N3
〜ばかりでなく	〜ばかりでなく	N3	not only ~ but also	Noun / plain form + ばかりでなく	Adds a further, often bigger, item.	だけでなく is the everyday equivalent.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>英語<rt>えいご</rt></ruby>ばかりでなく、フランス<ruby>語<rt>ご</rt></ruby>も<ruby>話<rt>はな</rt></ruby>せる。</div><div class="en">He speaks not only English but also French.</div></div><div class="ex"><div class="jp"><ruby>雨<rt>あめ</rt></ruby>ばかりでなく、<ruby>風<rt>かぜ</rt></ruby>も<ruby>強<rt>つよ</rt></ruby>かった。</div><div class="en">Not only did it rain, but the wind was strong.</div></div><div class="ex"><div class="jp">あなた<ruby>方<rt>かた</rt></ruby>ばかりでなく<ruby>彼<rt>かれ</rt></ruby>らも<ruby>普通<rt>ふつう</rt></ruby>の<ruby>人々<rt>ひとびと</rt></ruby>だ。</div><div class="en">They, as well as you, are ordinary people.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>勇気<rt>ゆうき</rt></ruby>があるばかりでなく<ruby>賢明<rt>けんめい</rt></ruby>でもある。</div><div class="en">He is not only brave but wise.</div></div>	jlpt::N3
〜ばかりに	〜ばかりに	N3	simply because ~ (bad result)	Plain form + ばかりに	One small cause led to an unfortunate outcome.	ばかりに regrets; おかげで credits.	<div class="ex"><div class="jp"><ruby>寝坊<rt>ねぼう</rt></ruby>したばかりに、<ruby>試験<rt>しけん</rt></ruby>を<ruby>受<rt>う</rt></ruby>けられなかった。</div><div class="en">Simply because I overslept, I couldn&#x27;t sit the exam.</div></div><div class="ex"><div class="jp"><ruby>一言<rt>ひとこと</rt></ruby><ruby>言<rt>い</rt></ruby>ったばかりに、けんかになった。</div><div class="en">Just because I said one word, we ended up quarrelling.</div></div><div class="ex"><div class="jp">その<ruby>部屋<rt>へや</rt></ruby>は<ruby>引<rt>ひ</rt></ruby>っ<ruby>越<rt>こ</rt></ruby>せるばかりになっている。</div><div class="en">The room is ready for us to move into.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>同意<rt>どうい</rt></ruby>すると<ruby>言<rt>い</rt></ruby>わんばかりにうなずいた。</div><div class="en">He nodded as much as to say, I agree.</div></div>	jlpt::N3
〜ばよかった	〜ばよかった	N3	should have ~ed	Verb ば-form + よかった	Regret over a past choice. Negative: 〜なければよかった.	ばよかった regrets; ほうがよかった compares options.	<div class="ex"><div class="jp">もっと<ruby>早<rt>はや</rt></ruby>く<ruby>来<rt>く</rt></ruby>ればよかった。</div><div class="en">I should have come earlier.</div></div><div class="ex"><div class="jp">あんなことを<ruby>言<rt>い</rt></ruby>わなければよかった。</div><div class="en">I shouldn&#x27;t have said such a thing.</div></div><div class="ex"><div class="jp"><ruby>別<rt>べつ</rt></ruby>の<ruby>男性<rt>だんせい</rt></ruby>と<ruby>結婚<rt>けっこん</rt></ruby>しさえすればよかったのに。</div><div class="en">If only I had married another man.</div></div><div class="ex"><div class="jp"><ruby>君<rt>きみ</rt></ruby>はお<ruby>父<rt>とう</rt></ruby>さんの<ruby>忠告<rt>ちゅうこく</rt></ruby>を<ruby>聞<rt>き</rt></ruby>けばよかったのだ。</div><div class="en">You ought to have taken your father&#x27;s advice.</div></div>	jlpt::N3
〜べきだ	〜べきだ	N3	should / ought to ~	Verb dictionary form + べきだ (する→すべき)	Moral or social obligation. Not used for laws or rules of fact.	べき is moral duty; はず is logical expectation.	<div class="ex"><div class="jp"><ruby>約束<rt>やくそく</rt></ruby>は<ruby>守<rt>まも</rt></ruby>るべきだ。</div><div class="en">You should keep your promises.</div></div><div class="ex"><div class="jp">もっと<ruby>考<rt>かんが</rt></ruby>えるべきでした。</div><div class="en">I should have thought more.</div></div><div class="ex"><div class="jp">あなたの<ruby>喫煙<rt>きつえん</rt></ruby><ruby>習慣<rt>しゅうかん</rt></ruby>を<ruby>断<rt>た</rt></ruby>つ<ruby>努力<rt>どりょく</rt></ruby>をすべきです。</div><div class="en">You should try to conquer your smoking habit.</div></div><div class="ex"><div class="jp">あなたは<ruby>自分<rt>じぶん</rt></ruby><ruby>自身<rt>じしん</rt></ruby>の<ruby>計画<rt>けいかく</rt></ruby>を<ruby>実行<rt>じっこう</rt></ruby>すべきです。</div><div class="en">You should carry out your own plan.</div></div>	jlpt::N3
〜ほど	〜ほど	N3	to the extent of ~	Noun / plain form + ほど	Marks degree. With a negative it forms a comparison: 〜ほど〜ない.	ほど〜ない says A is less than B; より says A exceeds B.	<div class="ex"><div class="jp"><ruby>泣<rt>な</rt></ruby>きたいほど<ruby>嬉<rt>うれ</rt></ruby>しかった。</div><div class="en">I was so happy I could have cried.</div></div><div class="ex"><div class="jp"><ruby>今日<rt>きょう</rt></ruby>は<ruby>昨日<rt>きのう</rt></ruby>ほど<ruby>寒<rt>さむ</rt></ruby>くない。</div><div class="en">Today isn&#x27;t as cold as yesterday.</div></div>	jlpt::N3
〜まい	〜まい	N3	will not / probably not	Verb dictionary form + まい	Literary negative volition or conjecture.	まい is literary; ないつもり everyday.	<div class="ex"><div class="jp"><ruby>二度<rt>にど</rt></ruby>と<ruby>同<rt>おな</rt></ruby>じ<ruby>失敗<rt>しっぱい</rt></ruby>はするまい。</div><div class="en">I will not make the same mistake twice.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>来<rt>く</rt></ruby>るまいと<ruby>思<rt>おも</rt></ruby>った。</div><div class="en">I thought he probably wouldn&#x27;t come.</div></div>	jlpt::N3
〜みたいだ	〜みたいだ	N3	seems / looks like (casual)	Noun / plain form + みたいだ	The spoken counterpart of ようだ; inflects as a な-adjective.	みたい is casual; ようだ neutral; らしい second-hand.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>疲<rt>つか</rt></ruby>れているみたいです。</div><div class="en">He seems tired.</div></div><div class="ex"><div class="jp"><ruby>夢<rt>ゆめ</rt></ruby>みたいな<ruby>話<rt>はなし</rt></ruby>だ。</div><div class="en">It&#x27;s a story like a dream.</div></div><div class="ex"><div class="jp">メアリーは<ruby>私<rt>わたし</rt></ruby>が<ruby>好<rt>す</rt></ruby>きではないみたいですね。</div><div class="en">Mary scarcely seems to care for me, does she?</div></div><div class="ex"><div class="jp"><ruby>今日<rt>きょう</rt></ruby>は<ruby>病気<rt>びょうき</rt></ruby>なので、<ruby>会社<rt>かいしゃ</rt></ruby>を<ruby>休<rt>やす</rt></ruby>みたいです。</div><div class="en">Because I am sick today, I want to absent myself from the company.</div></div>	jlpt::N3
〜ものだ	〜ものだ	N3	used to / it is the nature of ~	Plain form + ものだ	General truths, nostalgic recollection, or gentle admonition.	ものだ is general; ことだ is advice for a case.	<div class="ex"><div class="jp"><ruby>子<rt>こ</rt></ruby>どものころ、よくここで<ruby>遊<rt>あそ</rt></ruby>んだものだ。</div><div class="en">As a child, I used to play here a lot.</div></div><div class="ex"><div class="jp"><ruby>時間<rt>じかん</rt></ruby>はあっという<ruby>間<rt>ま</rt></ruby>に<ruby>過<rt>す</rt></ruby>ぎるものだ。</div><div class="en">Time passes in a flash, as it does.</div></div><div class="ex"><div class="jp">「これは<ruby>誰<rt>だれ</rt></ruby>のイスですか」「<ruby>私<rt>わたし</rt></ruby>のものです」</div><div class="en">Whose chair is this? &quot;It is mine.&quot;</div></div><div class="ex"><div class="jp">いつかまたあなたにお<ruby>会<rt>あ</rt></ruby>いしたいものです。</div><div class="en">I would like to see you again some day.</div></div>	jlpt::N3
〜ものだから	〜ものだから	N3	because ~ (explanation)	Plain form + ものだから	Explains, often defensively, why something happened.	ものだから excuses; ので states neutrally.	<div class="ex"><div class="jp"><ruby>電車<rt>でんしゃ</rt></ruby>が<ruby>遅<rt>おく</rt></ruby>れたものだから、<ruby>間<rt>ま</rt></ruby>に<ruby>合<rt>あ</rt></ruby>わなかった。</div><div class="en">Because the train was late, I didn&#x27;t make it.</div></div><div class="ex"><div class="jp"><ruby>忙<rt>いそが</rt></ruby>しかったものですから、<ruby>連絡<rt>れんらく</rt></ruby>できませんでした。</div><div class="en">Because I was busy, I couldn&#x27;t get in touch.</div></div><div class="ex"><div class="jp">あわてものだから<ruby>彼<rt>かれ</rt></ruby>はたぶん<ruby>早合点<rt>はやがてん</rt></ruby>するだろう。</div><div class="en">Being a hasty person, he is likely to jump to conclusions.</div></div><div class="ex"><div class="jp"><ruby>契約<rt>けいやく</rt></ruby>は<ruby>成立<rt>せいりつ</rt></ruby>したようなものだから<ruby>外<rt>そと</rt></ruby>へ<ruby>出<rt>で</rt></ruby>かけてお<ruby>祝<rt>いわ</rt></ruby>いしよう。</div><div class="en">The contract is in the bag, so let&#x27;s go out and celebrate.</div></div>	jlpt::N3
〜ようがない	〜ようがない	N3	there&#x27;s no way to ~	Verb ます-stem + ようがない	No means exists, regardless of willingness.	ようがない is no method; かねる is polite refusal.	<div class="ex"><div class="jp"><ruby>連絡<rt>れんらく</rt></ruby><ruby>先<rt>さき</rt></ruby>がないので、<ruby>知<rt>し</rt></ruby>らせようがない。</div><div class="en">There is no contact address, so there&#x27;s no way to notify them.</div></div><div class="ex"><div class="jp">こうなっては、どうしようもない。</div><div class="en">Now that it&#x27;s come to this, there&#x27;s nothing to be done.</div></div><div class="ex"><div class="jp">その<ruby>会社<rt>かいしゃ</rt></ruby>はまた<ruby>赤字<rt>あかじ</rt></ruby>になった。<ruby>救<rt>すく</rt></ruby>いようがない。</div><div class="en">The company once again went into the red. It is beyond saving.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>の<ruby>発言<rt>はつげん</rt></ruby>は<ruby>他<rt>た</rt></ruby>に<ruby>解釈<rt>かいしゃく</rt></ruby>のしようがない。</div><div class="en">His remarks allow of no other interpretation.</div></div>	jlpt::N3
〜ようとする	〜ようとする	N3	try to / be about to ~	Volitional form + とする	An attempt, or the instant before an action begins.	ようとする is attempting; てみる is trying out to see the result.	<div class="ex"><div class="jp"><ruby>出<rt>で</rt></ruby>かけようとしたとき、<ruby>電話<rt>でんわ</rt></ruby>が<ruby>鳴<rt>な</rt></ruby>った。</div><div class="en">Just as I was about to go out, the phone rang.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>立<rt>た</rt></ruby>ち<ruby>上<rt>あ</rt></ruby>がろうとした。</div><div class="en">He tried to stand up.</div></div><div class="ex"><div class="jp">ジムを<ruby>説得<rt>せっとく</rt></ruby>して<ruby>仲間<rt>なかま</rt></ruby>に<ruby>加<rt>くわ</rt></ruby>わらせようとした。</div><div class="en">We tried to persuade Jim to join us.</div></div><div class="ex"><div class="jp"><ruby>召使<rt>めしつか</rt></ruby>い<ruby>達<rt>たち</rt></ruby>は<ruby>主人<rt>しゅじん</rt></ruby>の<ruby>命令<rt>めいれい</rt></ruby>を<ruby>実行<rt>じっこう</rt></ruby>しようとした。</div><div class="en">The servants tried to carry out their master&#x27;s order.</div></div>	jlpt::N3
〜ようなら	〜ようなら	N3	if it seems that ~	Plain form + ようなら	A condition based on an observed sign.	ようなら follows observation; なら follows information.	<div class="ex"><div class="jp"><ruby>熱<rt>ねつ</rt></ruby>が<ruby>下<rt>さ</rt></ruby>がらないようなら、<ruby>病院<rt>びょういん</rt></ruby>へ<ruby>行<rt>い</rt></ruby>ってください。</div><div class="en">If the fever doesn&#x27;t seem to go down, please go to hospital.</div></div><div class="ex"><div class="jp"><ruby>難<rt>むずか</rt></ruby>しいようなら、<ruby>手伝<rt>てつだ</rt></ruby>います。</div><div class="en">If it seems difficult, I&#x27;ll help.</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>は<ruby>私<rt>わたし</rt></ruby>にさようならも<ruby>言<rt>い</rt></ruby>わずに<ruby>出<rt>で</rt></ruby>ていった。</div><div class="en">He went out without saying goodbye to me.</div></div><div class="ex"><div class="jp">さようならも<ruby>言<rt>い</rt></ruby>わずに<ruby>出<rt>で</rt></ruby>ていかないで<ruby>下<rt>くだ</rt></ruby>さい。</div><div class="en">Don&#x27;t go off without saying good-by.</div></div>	jlpt::N3
〜ようになっている	〜ようになっている	N3	be designed / set up so that ~	Verb dictionary / potential form + ようになっている	Describes how a mechanism or system is arranged.	ようになっている is a design; ようになった is a change.	<div class="ex"><div class="jp">このドアは<ruby>自動<rt>じどう</rt></ruby>で<ruby>開<rt>ひら</rt></ruby>くようになっています。</div><div class="en">This door is designed to open automatically.</div></div><div class="ex"><div class="jp"><ruby>誰<rt>だれ</rt></ruby>でも<ruby>使<rt>つか</rt></ruby>えるようになっている。</div><div class="en">It&#x27;s set up so that anyone can use it.</div></div><div class="ex"><div class="jp"><ruby>橋<rt>はし</rt></ruby>でその<ruby>島<rt>しま</rt></ruby>へ<ruby>渡<rt>わた</rt></ruby>れるようになっている。</div><div class="en">A bridge gives access to the island.</div></div><div class="ex"><div class="jp">そのドアは<ruby>手前<rt>てまえ</rt></ruby>へ<ruby>折<rt>お</rt></ruby>りたためるようになっている。</div><div class="en">The doors fold back.</div></div>	jlpt::N3
〜わけがない	〜わけがない	N3	there&#x27;s no way that ~	Plain form + わけがない	Strong denial of possibility.	わけがない is impossibility; はずがない is confident disbelief.	<div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>がそんなことを<ruby>言<rt>い</rt></ruby>うわけがない。</div><div class="en">There&#x27;s no way he would say such a thing.</div></div><div class="ex"><div class="jp">こんな<ruby>簡単<rt>かんたん</rt></ruby>な<ruby>問題<rt>もんだい</rt></ruby>が<ruby>解<rt>と</rt></ruby>けないわけがない。</div><div class="en">There&#x27;s no way I can&#x27;t solve such an easy problem.</div></div><div class="ex"><div class="jp"><ruby>神<rt>かみ</rt></ruby>は<ruby>言<rt>い</rt></ruby>った。「<ruby>私<rt>わたし</rt></ruby>に<ruby>勝<rt>か</rt></ruby>てるわけがないだろう。<ruby>有名<rt>ゆうめい</rt></ruby><ruby>選手<rt>せんしゅ</rt></ruby>は<ruby>皆<rt>みな</rt></ruby><ruby>天国<rt>てんごく</rt></ruby>にいるのだ」</div><div class="en">How can you win, Satan? asked God. &quot;All the famous ballplayers are up here.&quot;</div></div><div class="ex"><div class="jp"><ruby>彼<rt>かれ</rt></ruby>には<ruby>日常<rt>にちじょう</rt></ruby><ruby>必需<rt>ひつじゅ</rt></ruby><ruby>品<rt>ひん</rt></ruby>すらない、まして<ruby>贅沢<rt>ぜいたく</rt></ruby><ruby>品<rt>ひん</rt></ruby>はあるわけがない。</div><div class="en">He has no daily necessities, much less luxuries.</div></div>	jlpt::N3
〜わけだ	〜わけだ	N3	that&#x27;s why / no wonder	Plain form + わけだ	Draws a natural conclusion from what was just said.	わけだ concludes; はずだ expects in advance.	<div class="ex"><div class="jp"><ruby>窓<rt>まど</rt></ruby>が<ruby>開<rt>ひら</rt></ruby>いている。<ruby>寒<rt>さむ</rt></ruby>いわけだ。</div><div class="en">The window is open. No wonder it&#x27;s cold.</div></div><div class="ex"><div class="jp"><ruby>十<rt>じゅう</rt></ruby><ruby>年<rt>ねん</rt></ruby><ruby>住<rt>す</rt></ruby>んでいるから、<ruby>日本語<rt>にほんご</rt></ruby>が<ruby>上手<rt>じょうず</rt></ruby>なわけだ。</div><div class="en">He&#x27;s lived here ten years, so of course his Japanese is good.</div></div><div class="ex"><div class="jp"><ruby>偶然<rt>ぐうぜん</rt></ruby>その<ruby>単語<rt>たんご</rt></ruby>にであったわけです。</div><div class="en">I just came up with the word.</div></div><div class="ex"><div class="jp">これらの<ruby>中<rt>なか</rt></ruby>から<ruby>選<rt>えら</rt></ruby>ぶわけですか。</div><div class="en">Do I take choice among these?</div></div>	jlpt::N3
〜わけではない	〜わけではない	N3	it doesn&#x27;t mean that ~	Plain form + わけではない	Partial denial: it corrects an over-general conclusion.	わけではない denies partly; わけがない denies entirely.	<div class="ex"><div class="jp"><ruby>嫌<rt>きら</rt></ruby>いなわけではないが、あまり<ruby>食<rt>た</rt></ruby>べない。</div><div class="en">It&#x27;s not that I dislike it, but I don&#x27;t eat it much.</div></div><div class="ex"><div class="jp"><ruby>全部<rt>ぜんぶ</rt></ruby><ruby>分<rt>わ</rt></ruby>かったわけではありません。</div><div class="en">It&#x27;s not that I understood everything.</div></div><div class="ex"><div class="jp">この<ruby>仕事<rt>しごと</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>でも<ruby>良<rt>よ</rt></ruby>いというわけではない。</div><div class="en">I do not want anyone for this job.</div></div><div class="ex"><div class="jp">これらの<ruby>卵<rt>たまご</rt></ruby>が<ruby>全部<rt>ぜんぶ</rt></ruby><ruby>新鮮<rt>しんせん</rt></ruby>というわけではない。</div><div class="en">All these eggs are not fresh.</div></div>	jlpt::N3
〜わけにはいかない	〜わけにはいかない	N3	cannot (for social reasons)	Verb dictionary form + わけにはいかない	Circumstances forbid it, though it is physically possible.	わけにはいかない is social; られない is ability.	<div class="ex"><div class="jp"><ruby>大事<rt>だいじ</rt></ruby>な<ruby>会議<rt>かいぎ</rt></ruby>だから、<ruby>休<rt>やす</rt></ruby>むわけにはいかない。</div><div class="en">It&#x27;s an important meeting, so I can&#x27;t take the day off.</div></div><div class="ex"><div class="jp"><ruby>秘密<rt>ひみつ</rt></ruby>だから、<ruby>話<rt>はな</rt></ruby>すわけにはいかない。</div><div class="en">It&#x27;s a secret, so I can&#x27;t talk about it.</div></div><div class="ex"><div class="jp"><ruby>君<rt>きみ</rt></ruby>がそうすることを<ruby>許<rt>ゆる</rt></ruby>すわけにはいかない。</div><div class="en">I can&#x27;t allow you to do that.</div></div><div class="ex"><div class="jp">そんな<ruby>話<rt>はなし</rt></ruby>を<ruby>聞<rt>き</rt></ruby>くと<ruby>笑<rt>わら</rt></ruby>わないわけにはいかない。</div><div class="en">I cannot help laughing to hear such a story.</div></div>	jlpt::N3
〜をこめて	〜をこめて	N3	with (feeling) put into it	Noun + をこめて	Pours an emotion into an action: 心をこめて, 愛をこめて.	をこめて is emotional investment; で is a plain means.	<div class="ex"><div class="jp"><ruby>心<rt>こころ</rt></ruby>をこめて<ruby>手紙<rt>てがみ</rt></ruby>を<ruby>書<rt>か</rt></ruby>きました。</div><div class="en">I wrote the letter with all my heart.</div></div><div class="ex"><div class="jp"><ruby>感謝<rt>かんしゃ</rt></ruby>をこめて<ruby>贈<rt>おく</rt></ruby>ります。</div><div class="en">I give this with gratitude.</div></div><div class="ex"><div class="jp"><ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>憎<rt>にく</rt></ruby>しみをこめて<ruby>彼<rt>かれ</rt></ruby>を<ruby>見<rt>み</rt></ruby>た。</div><div class="en">She looked at him with hatred.</div></div><div class="ex"><div class="jp"><ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>心<rt>こころ</rt></ruby>をこめて<ruby>美<rt>うつく</rt></ruby>しい<ruby>歌<rt>うた</rt></ruby>を<ruby>歌<rt>うた</rt></ruby>った。</div><div class="en">She sang her sweet song with feeling.</div></div>	jlpt::N3
〜をはじめ	〜をはじめ	N3	starting with / including ~	Noun + をはじめ	Names the most representative member of a group.	をはじめ highlights a leading example; など merely lists.	<div class="ex"><div class="jp"><ruby>東京<rt>とうきょう</rt></ruby>をはじめ、<ruby>多<rt>おお</rt></ruby>くの<ruby>都市<rt>とし</rt></ruby>で<ruby>開催<rt>かいさい</rt></ruby>されます。</div><div class="en">It will be held in many cities, starting with Tokyo.</div></div><div class="ex"><div class="jp"><ruby>社長<rt>しゃちょう</rt></ruby>をはじめ、<ruby>社員<rt>しゃいん</rt></ruby><ruby>全員<rt>ぜんいん</rt></ruby>が<ruby>参加<rt>さんか</rt></ruby>した。</div><div class="en">Everyone from the president down took part.</div></div><div class="ex"><div class="jp">いつその<ruby>島<rt>しま</rt></ruby>をはじめて<ruby>見<rt>み</rt></ruby>たか<ruby>教<rt>おし</rt></ruby>えて<ruby>下<rt>くだ</rt></ruby>さい。</div><div class="en">Tell me when you first saw the island.</div></div><div class="ex"><div class="jp"><ruby>私<rt>わたし</rt></ruby>を<ruby>待<rt>ま</rt></ruby>たないで<ruby>夕食<rt>ゆうしょく</rt></ruby>をはじめてください。</div><div class="en">Don&#x27;t wait dinner for me.</div></div>	jlpt::N3
〜を通じて	〜を<ruby>通<rt>つう</rt></ruby>じて	N3	through / throughout ~	Noun + を通じて	A medium, or a span covered entirely.	を通じて is a route or span; によって is an agent.	<div class="ex"><div class="jp"><ruby>友人<rt>ゆうじん</rt></ruby>を<ruby>通<rt>つう</rt></ruby>じて<ruby>彼<rt>かれ</rt></ruby>を<ruby>知<rt>し</rt></ruby>りました。</div><div class="en">I came to know him through a friend.</div></div><div class="ex"><div class="jp"><ruby>一<rt>いち</rt></ruby><ruby>年<rt>ねん</rt></ruby>を<ruby>通<rt>つう</rt></ruby>じて<ruby>雨<rt>あめ</rt></ruby>が<ruby>多<rt>おお</rt></ruby>い。</div><div class="en">It rains a lot throughout the year.</div></div><div class="ex"><div class="jp"><ruby>読書<rt>どくしょ</rt></ruby>を<ruby>通<rt>つう</rt></ruby>じて<ruby>多<rt>おお</rt></ruby>くの<ruby>言葉<rt>ことば</rt></ruby>が<ruby>習得<rt>しゅうとく</rt></ruby>される。</div><div class="en">Many words are acquired through reading.</div></div><div class="ex"><div class="jp">トムとマイクはお<ruby>互<rt>たが</rt></ruby>いの<ruby>友人<rt>ゆうじん</rt></ruby>を<ruby>通<rt>つう</rt></ruby>じて<ruby>知<rt>し</rt></ruby>り<ruby>合<rt>あ</rt></ruby>った。</div><div class="en">Tom and Mike became acquainted through their mutual friends.</div></div>	jlpt::N3
〜一方で	〜<ruby>一方<rt>いっぽう</rt></ruby>で	N3	on the other hand / while	Plain form + 一方で	Sets two coexisting aspects side by side.	一方で balances; に対して contrasts more sharply.	<div class="ex"><div class="jp"><ruby>仕事<rt>しごと</rt></ruby>は<ruby>忙<rt>いそが</rt></ruby>しい<ruby>一方<rt>いっぽう</rt></ruby>で、やりがいがある。</div><div class="en">The work is busy, but on the other hand it&#x27;s rewarding.</div></div><div class="ex"><div class="jp"><ruby>物価<rt>ぶっか</rt></ruby>が<ruby>上<rt>あ</rt></ruby>がる<ruby>一方<rt>いっぽう</rt></ruby>で、<ruby>給料<rt>きゅうりょう</rt></ruby>は<ruby>変<rt>か</rt></ruby>わらない。</div><div class="en">While prices rise, wages stay the same.</div></div>	jlpt::N3
〜向き	〜<ruby>向<rt>む</rt></ruby>き	N3	suited to / facing ~	Noun + 向き	Naturally suitable, or physically facing a direction.	向き is suitability; 向け is deliberate targeting.	<div class="ex"><div class="jp">この<ruby>部屋<rt>へや</rt></ruby>は<ruby>南<rt>みなみ</rt></ruby><ruby>向<rt>む</rt></ruby>きです。</div><div class="en">This room faces south.</div></div><div class="ex"><div class="jp"><ruby>初心者<rt>しょしんしゃ</rt></ruby><ruby>向<rt>む</rt></ruby>きの<ruby>教科書<rt>きょうかしょ</rt></ruby>。</div><div class="en">A textbook suited to beginners.</div></div>	jlpt::N3
〜向け	〜<ruby>向<rt>む</rt></ruby>け	N3	aimed at ~	Noun + 向け	Made for a particular audience.	向け is intended for; 向き is suited to.	<div class="ex"><div class="jp">これは<ruby>子<rt>こ</rt></ruby>ども<ruby>向<rt>む</rt></ruby>けの<ruby>本<rt>ほん</rt></ruby>です。</div><div class="en">This is a book aimed at children.</div></div><div class="ex"><div class="jp"><ruby>海外<rt>かいがい</rt></ruby><ruby>向<rt>む</rt></ruby>けに<ruby>輸出<rt>ゆしゅつ</rt></ruby>しています。</div><div class="en">We export it for overseas markets.</div></div>	jlpt::N3
〜得る	〜<ruby>得<rt>う</rt></ruby>る	N3	can / be possible to ~	Verb ます-stem + 得る	Formal possibility. Read える or うる in the dictionary form, えない when negative.	得る is formal possibility; られる is ordinary ability.	<div class="ex"><div class="jp">それはあり<ruby>得<rt>え</rt></ruby>ない<ruby>話<rt>はなし</rt></ruby>だ。</div><div class="en">That is an impossible story.</div></div><div class="ex"><div class="jp"><ruby>誰<rt>だれ</rt></ruby>にでも<ruby>起<rt>お</rt></ruby>こり<ruby>得<rt>え</rt></ruby>ることです。</div><div class="en">It is something that can happen to anyone.</div></div>	jlpt::N3
